Always Look on the Bright Side of Life,Monty Python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,5,,,,,,,,,,,,14,,,,,,,,,,,,,,13.5,,,,,17,,,,
Angels,Robbie Williams,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,26,,,,,,,,12,,16,,,,,,,,,,,,,,,,11,,,,,,,,,,,20,7,,,,12,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,14,,,13,,,,,,,,14.5,,,,,,,,
Anyone Else But You,The Moldy Peaches,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,3,,21,,7,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,18,,,,,1,,,,,,,,,,,,,14.5,2,,,,,,,14,,,,14.5,,,,,,,,,,,17,,,14,
Baby One More Time,Britney Spears,,,,,,20,7,,17,9,,,,6,,,,,25,,,,,,,,,,,,,,,21,,,24,,5,,,,,,,14,18,10,,8,,,,,,,,,18,,,,,,,,,16,13,,10,21,22,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,13.5,14.5,,,,,,,,
Back for Good,Take That,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,17,,,,15
Bad Moon Rising,Creedence Clearwater Revival,,1,,11,,,,,1,,,1,,1,,1,,3,,3,,,1,,,,11,,2,,,2,,1,,,,5,,,14,,,,,,,,10,,,1,6,,,,,,1,,,4,,,1,,24,2,2,8,,1,10,,,,,19,,4,,,,,2,1,,,,,,,1,,,,14,,,9,15.5,,13.5,14.5,,,,14.5,,,,13.5,14.5,,,15,17,16,13,,
Basket Case,Green Day,,,,,,,,,,,,,8,,,20,15,,,,,,,8,,,,,10,,,,,,,,,,,,,,9,,,,,,,,,,,,17,,,,,12,,,,,,,,,,,,,,,17,21,20,,,28,,,24,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Ciao,Fonola Band,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Hills,Weezer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Yellow Taxi,Joni Mitchell,,,,,,,,,,,,,,,,,16,,,,,20,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitch,Meredith Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Horse And The Cherry Tree,KT Tunstall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blitzkrieg Bop,Ramones,,,,,12,,,17,,,,,,,,,3,,,,,,20,,,,,,5,23,,,,,,,,,7,13,,,,14,,,,,,,7,,20,4,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,13,14,,,3,,,,4,14.5,,,,,14.5,,15.5,,,,,,,,,,,,,13.5,14,,17,16,13,14,
Blue Suede Shoes,Elvis Presley,,,,,,,12,,,,3,,,,,7,,,,14,,,,,,,,2,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,2,,,,,13,,,,,,,,17,,,13.5,,,14.5,,,,14,,,,14,,,13,,,14.5,,,,,,13.5,,15,17,,,,15
Bohemian Like You,The Dandy Warhols,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,22,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,,,,,,,14,,,,,,13.5,,,,,,,,,13.5,14.5,,,,17,16,,,
Bongo Bong / Je ne t'aime plus,Manu Chao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boom, Boom, Boom, Boom!!",Vengaboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,
Boris The Spider,The Who,,19,13,,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,
Born in the U.S.A.,Bruce Springsteen,,,,,,16,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Born to be Wild,Steppenwolf,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,9,,,,,4,,,,,,,,,,,,,,,,,,26,,,,15,,,8,,4,,,,,,,,,,,,,,,3,,,5,,,8,,1,13,,,19,14.5,,,,,14.5,,15.5,,,14.5,,,,,14.5,,,,,13.5,14,,17,,,14,
Brown Eyed Girl,Van Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build Me Up Buttercup,The Foundations,,,,,,,,,,,,4,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,8,7,,,,,,,16,,,,,,,,,,,,,,,,7,,6,6,11,,,,,,,,,,,,,,,,,,25,,,,,,,,,,14,,,,15.5,,,,,,,14.5,14.5,,,,,,,,17,16,,,
Burn The Witch,Queens Of The Stone Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C'est la Vie,B*Witched,,,,,,24,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,2,,,,,,,6,,,,,,,,21,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Californication,Red Hot Chilli Peppers,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
